,Date,Bexley,Hounslow
470,2001-04-14,17,20.6
471,2001-04-15,7,8
472,2001-04-16,13,14.3
473,2001-04-17,20.9,25
474,2001-04-18,11.6,12.6
475,2001-04-19,10.8,14.8
476,2001-04-20,16.5,19.8
477,2001-04-21,15.4,21.4
478,2001-04-22,16.3,22.8
479,2001-04-23,19.5,26.8
480,2001-04-24,18,26.7
481,2001-04-25,12.6,20.9
482,2001-04-26,12.6,19.2
483,2001-04-27,15.7,20.7
484,2001-04-28,10.2,15.4
485,2001-04-29,8.2,13.1
486,2001-04-30,13.8,19.5
487,2001-05-01,14.1,NA
488,2001-05-02,15,NA
489,2001-05-03,15.3,20.5
490,2001-05-04,19.2,19.2
491,2001-05-05,11.4,15
492,2001-05-06,11.8,NA
493,2001-05-07,14.3,16.9
494,2001-05-08,14.1,19
495,2001-05-09,25.1,26.8
496,2001-05-10,40.2,44.9
497,2001-05-11,44.9,47
498,2001-05-12,27.8,26.5
499,2001-05-13,36.4,26
500,2001-05-14,23.4,42.6
501,2001-05-15,22.8,29.3
502,2001-05-16,10,20.4
503,2001-05-17,9.5,13.3
504,2001-05-18,16.9,21.9
505,2001-05-19,18.7,22.7
506,2001-05-20,23.3,25
507,2001-05-21,10,19
508,2001-05-22,12.8,21.4
509,2001-05-23,21,30.9
510,2001-05-24,22.6,30.8
511,2001-05-25,25.8,40.3
512,2001-05-26,27.6,28.8
513,2001-05-27,10.5,15.5
514,2001-05-28,13.4,17
515,2001-05-29,16.3,24.3
516,2001-05-30,18.6,24.6
517,2001-05-31,10.3,17.9
518,2001-06-01,11.3,17.5
519,2001-06-02,8.4,19
520,2001-06-03,10.5,17.5
521,2001-06-04,15.7,22.7
522,2001-06-05,19.2,29.2
523,2001-06-06,14.4,21.9
524,2001-06-07,8.3,14.5
525,2001-06-08,14.2,20.3
526,2001-06-09,20.6,23.9
527,2001-06-10,12.3,15.6
528,2001-06-11,15.6,19.7
529,2001-06-12,15.3,23.2
530,2001-06-13,21.1,28.4
531,2001-06-14,22.3,29.9
532,2001-06-15,15.1,22.1
533,2001-06-16,12.4,19.7
534,2001-06-17,13.4,21.6
535,2001-06-18,15.7,24.2
536,2001-06-19,20.7,29.7
537,2001-06-20,18.9,22.8
538,2001-06-21,21.6,25.7
539,2001-06-22,19.5,27.3
540,2001-06-23,20,28
541,2001-06-24,34.2,37.9
542,2001-06-25,37.1,44.4
543,2001-06-26,47.5,49.8
544,2001-06-27,26,28.7
545,2001-06-28,13.9,21.1
546,2001-06-29,14.5,21.7
547,2001-06-30,13.5,21.2
548,2001-07-01,21.5,22.1
549,2001-07-02,28,33.7
550,2001-07-03,36,44.6
551,2001-07-04,39.7,46.6
552,2001-07-05,39.6,43.4
553,2001-07-06,21.5,32.8
554,2001-07-07,31.1,38.9
555,2001-07-08,13.3,NA
556,2001-07-09,11.2,NA
557,2001-07-10,10.4,NA
558,2001-07-11,NA,NA
559,2001-07-12,NA,NA
560,2001-07-13,NA,18.5
561,2001-07-14,13,20.4
562,2001-07-15,11.9,13.9
563,2001-07-16,15.3,23.1
564,2001-07-17,18.7,22.8
565,2001-07-18,13.8,24.2
566,2001-07-19,15.6,23.5
567,2001-07-20,14.7,20.1
568,2001-07-21,7.4,12.7
569,2001-07-22,15.5,19.8
570,2001-07-23,17.7,19.8
571,2001-07-24,15.8,20.1
572,2001-07-25,28.1,36.3
573,2001-07-26,33.4,32.7
574,2001-07-27,36.6,45
575,2001-07-28,39.7,39
576,2001-07-29,29.3,33.6
577,2001-07-30,20.8,21.6
578,2001-07-31,14.3,21
579,2001-08-01,NA,26.7
580,2001-08-02,NA,31.8
581,2001-08-03,15.2,21.3
582,2001-08-04,9.3,13.9
583,2001-08-05,9.4,12.8
584,2001-08-06,8.5,14
585,2001-08-07,NA,21
586,2001-08-08,NA,16.4
587,2001-08-09,NA,21.2
588,2001-08-10,NA,17.4
589,2001-08-11,NA,16.7
590,2001-08-12,NA,NA
591,2001-08-13,NA,NA
592,2001-08-14,NA,28.1
593,2001-08-15,NA,33
594,2001-08-16,NA,15.5
595,2001-08-17,NA,21.2
596,2001-08-18,NA,27.6
597,2001-08-19,NA,13.8
598,2001-08-20,NA,NA
599,2001-08-21,NA,NA
600,2001-08-22,NA,NA
601,2001-08-23,NA,56.2
602,2001-08-24,NA,34.5
603,2001-08-25,NA,42.6
604,2001-08-26,NA,36.9
605,2001-08-27,NA,15
606,2001-08-28,NA,26.3
607,2001-08-29,NA,36.2
608,2001-08-30,NA,31.2
609,2001-08-31,NA,19.7
610,2001-09-01,NA,16.6
611,2001-09-02,NA,11.2
612,2001-09-03,NA,14.1
613,2001-09-04,NA,18.6
614,2001-09-05,NA,22.4
615,2001-09-06,NA,20.8
616,2001-09-07,NA,19.6
617,2001-09-08,NA,14.2
618,2001-09-09,NA,13.1
619,2001-09-10,NA,21.4
620,2001-09-11,NA,18.2
621,2001-09-12,NA,15.8
622,2001-09-13,NA,15.5
623,2001-09-14,NA,20.3
624,2001-09-15,NA,15.8
625,2001-09-16,NA,16.8
626,2001-09-17,NA,16.8
627,2001-09-18,NA,18.9
628,2001-09-19,NA,16.9
629,2001-09-20,NA,24.9
630,2001-09-21,NA,29.8
631,2001-09-22,NA,28.6
632,2001-09-23,NA,19.9
633,2001-09-24,NA,28.2
634,2001-09-25,NA,36.5
635,2001-09-26,NA,29
636,2001-09-27,NA,23.5
637,2001-09-28,NA,33.5
638,2001-09-29,NA,28.6
639,2001-09-30,NA,16.7
640,2001-10-01,NA,31
641,2001-10-02,NA,NA
642,2001-10-03,NA,21.6
643,2001-10-04,NA,NA
644,2001-10-05,NA,NA
645,2001-10-06,NA,NA
646,2001-10-07,NA,NA
647,2001-10-08,NA,20.5
648,2001-10-09,NA,NA
649,2001-10-10,NA,NA
650,2001-10-11,NA,19.8
651,2001-10-12,NA,35.5
652,2001-10-13,NA,69
653,2001-10-14,NA,37.4
654,2001-10-15,NA,25.1
655,2001-10-16,NA,31.7
656,2001-10-17,NA,37.1
657,2001-10-18,NA,33.1
658,2001-10-19,NA,35.1
659,2001-10-20,NA,29.8
660,2001-10-21,NA,12.7
661,2001-10-22,NA,NA
662,2001-10-23,NA,NA
663,2001-10-24,NA,25.9
664,2001-10-25,NA,32.2
665,2001-10-26,NA,23
666,2001-10-27,NA,25.1
667,2001-10-28,NA,23.9
668,2001-10-29,NA,25.4
669,2001-10-30,NA,32.4
670,2001-10-31,NA,18.3
671,2001-11-01,NA,31.5
672,2001-11-02,NA,46
673,2001-11-03,NA,96.9
674,2001-11-04,NA,60.2
675,2001-11-05,NA,30.2
676,2001-11-06,NA,20.4
677,2001-11-07,NA,12
678,2001-11-08,NA,10.8
679,2001-11-09,NA,18
680,2001-11-10,NA,29.5
681,2001-11-11,NA,22.2
682,2001-11-12,NA,19.5
683,2001-11-13,NA,15.8
684,2001-11-14,NA,23.2
685,2001-11-15,NA,45.9
686,2001-11-16,NA,32.1
687,2001-11-17,NA,20.4
688,2001-11-18,NA,11.8
689,2001-11-19,NA,33.1
690,2001-11-20,NA,34.1
691,2001-11-21,NA,19.1
692,2001-11-22,NA,16.7
693,2001-11-23,NA,31.1
694,2001-11-24,NA,22.8
695,2001-11-25,NA,9.9
696,2001-11-26,NA,NA
697,2001-11-27,NA,NA
698,2001-11-28,NA,NA
699,2001-11-29,NA,NA
700,2001-11-30,NA,NA
701,2001-12-01,NA,13.1
702,2001-12-02,NA,31.7
703,2001-12-03,NA,34.2
704,2001-12-04,NA,21.1
705,2001-12-05,NA,15.1
706,2001-12-06,NA,31.6
707,2001-12-07,NA,33.5
708,2001-12-08,NA,44.7
709,2001-12-09,NA,25.9
710,2001-12-10,NA,35.5
711,2001-12-11,NA,24.6
712,2001-12-12,NA,25
713,2001-12-13,NA,23.8
714,2001-12-14,NA,NA
715,2001-12-15,NA,NA
716,2001-12-16,NA,23.7
717,2001-12-17,NA,20
718,2001-12-18,NA,28.5
719,2001-12-19,NA,24.7
720,2001-12-20,NA,26.6
721,2001-12-21,NA,13.7
722,2001-12-22,NA,14.3
723,2001-12-23,NA,19.3
724,2001-12-24,NA,12.3
725,2001-12-25,5.3,8.4
726,2001-12-26,9.5,12.6
727,2001-12-27,8.4,11.3
728,2001-12-28,12.3,19.2
729,2001-12-29,11,16.4
730,2001-12-30,10.5,12.6
731,2001-12-31,20.8,28.9
732,2002-01-01,34.4,49
733,2002-01-02,20.2,25
734,2002-01-03,19.1,25.4
735,2002-01-04,25.2,34.6
736,2002-01-05,33.6,32.6
737,2002-01-06,26.2,20.4
738,2002-01-07,26.7,22.4
739,2002-01-08,25.8,40.2
740,2002-01-09,38,46.5
741,2002-01-10,25.7,34.3
742,2002-01-11,18.8,29.3
743,2002-01-12,16.7,21.9
744,2002-01-13,25.3,29.6
745,2002-01-14,16.4,21
746,2002-01-15,15.3,19.7
747,2002-01-16,18.5,28.9
748,2002-01-17,10.8,15.9
749,2002-01-18,16.5,24.6
750,2002-01-19,17.5,21.6
751,2002-01-20,14.4,17.4
752,2002-01-21,17.5,25.5
753,2002-01-22,16.5,19.9
754,2002-01-23,17.8,23
755,2002-01-24,11.7,16
756,2002-01-25,14,20.4
757,2002-01-26,10.8,14.5
758,2002-01-27,12.7,15.7
759,2002-01-28,NA,23.3
760,2002-01-29,NA,28.6
761,2002-01-30,NA,22.3
762,2002-01-31,13.3,19.6
763,2002-02-01,18.2,24.9
764,2002-02-02,19.5,23.6
765,2002-02-03,15.7,22.5
766,2002-02-04,8,13.2
767,2002-02-05,13,18.8
768,2002-02-06,14,NA
769,2002-02-07,15.3,NA
770,2002-02-08,17.4,NA
771,2002-02-09,11.8,NA
772,2002-02-10,18.9,NA
773,2002-02-11,11,NA
774,2002-02-12,17,NA
775,2002-02-13,18.4,NA
776,2002-02-14,14.9,NA
777,2002-02-15,21.9,NA
778,2002-02-16,15.3,NA
779,2002-02-17,25,NA
780,2002-02-18,15.2,NA
781,2002-02-19,12.5,NA
782,2002-02-20,8.8,NA
783,2002-02-21,15.9,NA
784,2002-02-22,8.2,NA
785,2002-02-23,10,NA
786,2002-02-24,14.2,NA
787,2002-02-25,8.3,NA
788,2002-02-26,NA,NA
789,2002-02-27,9.3,NA
790,2002-02-28,13.2,NA
791,2002-03-01,17.5,NA
792,2002-03-02,16.7,NA
793,2002-03-03,20.2,NA
794,2002-03-04,20.8,NA
795,2002-03-05,22.9,24.9
796,2002-03-06,21.3,25.3
797,2002-03-07,25,26.3
798,2002-03-08,22.2,24.8
799,2002-03-09,9.3,14.4
800,2002-03-10,16.9,20.1
801,2002-03-11,18.4,20.6
802,2002-03-12,26.3,32.5
803,2002-03-13,9,15.4
804,2002-03-14,16.1,20.1
